shopify_order_id,order_name,created_at,price,quantity,city,state,country,currency_code,financial_status,fulfillment_status,brand,channel,platform
gid://shopify/Order/7246955610409,#262379,2026-03-26T18:07:06Z,2830.0,3,Bangalore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246953152809,#262371,2026-03-26T18:05:27Z,2182.0,2,Bangalore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246951973161,#262370,2026-03-26T18:04:35Z,955.0,1,"North West Delhi",Delhi,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246951776553,#262368,2026-03-26T18:04:26Z,3032.0,1,Pune,Maharashtra,India,INR,PAID,FULFILLED,BTC,D2C,App
gid://shopify/Order/7246949515561,#262364,2026-03-26T18:02:49Z,7396.0,5,Bangalore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246949122345,#262362,2026-03-26T18:02:38Z,3276.0,3,Vadodara,Gujarat,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246948925737,#262361,2026-03-26T18:02:30Z,1910.0,2,Bangalore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246948434217,#262360,2026-03-26T18:02:18Z,1978.0,2,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246948401449,#262359,2026-03-26T18:02:16Z,2259.0,2,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246947549481,#262358,2026-03-26T18:01:41Z,4260.0,4,Alwar,Rajasthan,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246947320105,#262357,2026-03-26T18:01:40Z,6701.0,8,Ahmedabad,Gujarat,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246946697513,#262355,2026-03-26T18:01:21Z,4017.0,4,"Gautam budh nagar","Uttar Pradesh",India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246946369833,#262353,2026-03-26T18:01:12Z,1558.0,1,Pune,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246945976617,#262351,2026-03-26T18:00:56Z,2161.0,3,Hyderabad,Telangana,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246945386793,#262350,2026-03-26T18:00:35Z,6832.0,7,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246945288489,#262349,2026-03-26T18:00:29Z,2046.0,2,Bangalore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246943486249,#262346,2026-03-26T17:59:28Z,2803.0,2,Hyderabad,Telangana,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246942798121,#262343,2026-03-26T17:59:09Z,2257.0,2,Alwar,Rajasthan,India,INR,PAID,UNFULFILLED,BTC,D2C,App
gid://shopify/Order/7246940274985,#262339,2026-03-26T17:57:32Z,2130.0,2,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246940078377,#262338,2026-03-26T17:57:28Z,2120.0,2,Bangalore,Karnataka,India,INR,PAID,PARTIALLY_FULFILLED,Core,D2C,App
gid://shopify/Order/7246939193641,#262334,2026-03-26T17:56:52Z,3581.0,4,Pune,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246938472745,#262333,2026-03-26T17:56:19Z,1811.0,2,Pune,Maharashtra,India,INR,PAID,PARTIALLY_FULFILLED,Core,D2C,App
gid://shopify/Order/7246937391401,#262332,2026-03-26T17:55:24Z,4512.0,5,Thane,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246936801577,#262331,2026-03-26T17:55:00Z,1160.0,1,Gurugram,Haryana,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246936768809,#262330,2026-03-26T17:54:57Z,5215.0,7,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246935032105,#262328,2026-03-26T17:53:48Z,5969.0,5,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246933098793,#262322,2026-03-26T17:52:48Z,6083.0,6,Bhubaneswar,Odisha,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246932967721,#262321,2026-03-26T17:52:45Z,4842.0,4,Surat,Gujarat,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246932050217,#262320,2026-03-26T17:52:10Z,7847.0,10,Chennai,"Tamil Nadu",India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246929920297,#262317,2026-03-26T17:50:56Z,3411.0,2,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246929297705,#262316,2026-03-26T17:50:33Z,3713.0,3,Ahmedabad,Gujarat,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246928871721,#262315,2026-03-26T17:50:21Z,2182.0,3,Noida,"Uttar Pradesh",India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246928249129,#262312,2026-03-26T17:49:59Z,1262.0,1,Solapur,Maharashtra,India,INR,PAID,FULFILLED,Core,D2C,App
gid://shopify/Order/7246928150825,#262311,2026-03-26T17:49:56Z,3279.0,3,Bangalore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246927003945,#262310,2026-03-26T17:49:09Z,2065.0,2,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246926676265,#262309,2026-03-26T17:49:03Z,2655.0,3,Pune,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246926217513,#262308,2026-03-26T17:48:54Z,1221.0,2,"South West Delhi",Delhi,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246926151977,#262307,2026-03-26T17:48:53Z,3916.0,3,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246926020905,#262306,2026-03-26T17:48:51Z,1402.0,1,Mapusa,Goa,India,INR,PAID,FULFILLED,Core,D2C,App
gid://shopify/Order/7246924874025,#262302,2026-03-26T17:48:06Z,1669.0,2,Pune,Maharashtra,India,INR,PAID,UNFULFILLED,BTC,D2C,App
gid://shopify/Order/7246923759913,#262300,2026-03-26T17:47:32Z,2300.0,2,Pune,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246922809641,#262298,2026-03-26T17:46:59Z,2752.0,1,Karnal,Haryana,India,INR,PAID,FULFILLED,Core,D2C,App
gid://shopify/Order/7246922711337,#262297,2026-03-26T17:46:56Z,1565.0,1,Delhi,Delhi,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246922645801,#262296,2026-03-26T17:46:55Z,2533.0,2,Hyderabad,Telangana,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246920614185,#262292,2026-03-26T17:45:38Z,399.0,1,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246919860521,#262290,2026-03-26T17:45:25Z,2492.0,3,Pune,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246919336233,#262289,2026-03-26T17:45:09Z,3057.0,2,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246919106857,#262288,2026-03-26T17:44:56Z,2644.0,2,Morena,"Madhya Pradesh",India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246918910249,#262286,2026-03-26T17:44:48Z,3593.0,3,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246918091049,#262283,2026-03-26T17:44:09Z,5042.0,5,"RUDRAPUR, UTTARAKHAND",Uttarakhand,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246917861673,#262282,2026-03-26T17:43:55Z,1497.0,1,"Bangalore Division",Karnataka,India,INR,PAID,FULFILLED,BTC,D2C,App
